file,type,n,heuristic,cost,runtime_ms,min_edge_weight,max_edge_weight,mean_edge_weight,std_edge_weight,cv_edge_weight,edge_weight_skewness,pct_short_edges,triangle_violation_rate,avg_violation_magnitude,mst_weight,nn_cost_over_mst,optimal_cost,optimality_gap
rl1889,EUC_2D,1889,Greedy,379953.0,9013.0,0.004084342477769615,21089.0,7834.798422064405,4012.500821455797,0.5121383608486683,0.3797176886391118,0.1000282635418255,0.000195,0.00012763570243030047,0.0188018403242297,1.3989132700365836,316536.0,20.034687997573737
rl1889,EUC_2D,1889,Insertion,387346.0,1370244.0,0.004084342477769615,21089.0,7834.798422064405,4012.500821455797,0.5121383608486683,0.3797176886391118,0.1000282635418255,0.000195,0.00012763570243030047,0.0188018403242297,1.3989132700365836,316536.0,22.3702833169055
rl1889,EUC_2D,1889,CH,345453.0,92469.0,0.004084342477769615,21089.0,7834.798422064405,4012.500821455797,0.5121383608486683,0.3797176886391118,0.1000282635418255,0.000195,0.00012763570243030047,0.0188018403242297,1.3989132700365836,316536.0,9.135453787246949
rl5915,EUC_2D,5915,NN,695602.0,16841.0,0.004447763903040409,21238.0,7194.626490431605,3611.252408084406,0.5019374407951742,0.3832907269620488,0.1000430229742682,0.000145,0.0001389926219700128,0.0122630969771956,1.332900276121877,565530.0,23.000017682527893
rl5915,EUC_2D,5915,Greedy,638931.0,83131.0,0.004447763903040409,21238.0,7194.626490431605,3611.252408084406,0.5019374407951742,0.3832907269620488,0.1000430229742682,0.000145,0.0001389926219700128,0.0122630969771956,1.332900276121877,565530.0,12.979152299612752
rl5915,EUC_2D,5915,Insertion,1.0,1000000.0,0.004447763903040409,21238.0,7194.626490431605,3611.252408084406,0.5019374407951742,0.3832907269620488,0.1000430229742682,0.000145,0.0001389926219700128,0.0122630969771956,1.332900276121877,565530.0,
rl5915,EUC_2D,5915,CH,1.0,1000000.0,0.004447763903040409,21238.0,7194.626490431605,3611.252408084406,0.5019374407951742,0.3832907269620488,0.1000430229742682,0.000145,0.0001389926219700128,0.0122630969771956,1.332900276121877,565530.0,
rl5934,EUC_2D,5934,NN,672412.0,15249.0,0.0012655561427230122,21539.0,7111.498017492377,3693.934177909869,0.5194312321853684,0.5077334446364694,0.1000438499544202,0.00024,0.0001406173491914458,0.0121790643497879,1.3083167299670009,556045.0,20.92762276434461
rl5934,EUC_2D,5934,Greedy,634314.0,77938.0,0.0012655561427230122,21539.0,7111.498017492377,3693.934177909869,0.5194312321853684,0.5077334446364694,0.1000438499544202,0.00024,0.0001406173491914458,0.0121790643497879,1.3083167299670009,556045.0,14.076019027237004
rl5934,EUC_2D,5934,Insertion,1.0,1000000.0,0.0012655561427230122,21539.0,7111.498017492377,3693.934177909869,0.5194312321853684,0.5077334446364694,0.1000438499544202,0.00024,0.0001406173491914458,0.0121790643497879,1.3083167299670009,556045.0,
rl5934,EUC_2D,5934,CH,1.0,1000000.0,0.0012655561427230122,21539.0,7111.498017492377,3693.934177909869,0.5194312321853684,0.5077334446364694,0.1000438499544202,0.00024,0.0001406173491914458,0.0121790643497879,1.3083167299670009,556045.0,
st70,EUC_2D,70,NN,830.0,6.0,0.019137049803874956,129.0,52.254658385093165,24.38774413964469,0.46670947420454,0.1224828789726147,0.1064182194616977,0.002415,0.019137049803874956,0.1539165577083086,1.4742451154529308,675.0,22.96296296296296
st70,EUC_2D,70,Greedy,750.0,3.0,0.019137049803874956,129.0,52.254658385093165,24.38774413964469,0.46670947420454,0.1224828789726147,0.1064182194616977,0.002415,0.019137049803874956,0.1539165577083086,1.4742451154529308,675.0,11.11111111111111
